cell,source,target,arch,seed,T,n_ood,raw_smooth_ece_h_default,ts_smooth_ece_h_default,d_smooth_ece_h_default,raw_smooth_ece_h_0.45,ts_smooth_ece_h_0.45,d_smooth_ece_h_0.45,raw_ece_bin10_eqwidth,ts_ece_bin10_eqwidth,d_ece_bin10_eqwidth,raw_ece_bin15_eqwidth,ts_ece_bin15_eqwidth,d_ece_bin15_eqwidth,raw_ece_bin20_eqwidth,ts_ece_bin20_eqwidth,d_ece_bin20_eqwidth,raw_ece_bin10_eqfreq,ts_ece_bin10_eqfreq,d_ece_bin10_eqfreq,raw_repo_ece_metric_safe,ts_repo_ece_metric_safe,d_repo_ece_metric_safe,raw_brier_reliability10,ts_brier_reliability10,d_brier_reliability10,raw_mce_bin10,ts_mce_bin10,d_mce_bin10,raw_rms_ce_bin10,ts_rms_ce_bin10,d_rms_ce_bin10
cpsc_chapman_inceptiontime_seed44,cpsc,chapman,inceptiontime,44,2.4961144294954902,3958,0.07457980191806927,0.15565478847490072,-0.08107498655683144,0.07500629315466163,0.1553280756136923,-0.08032178245903067,0.0760218124533615,0.15778920212893766,-0.08176738967557616,0.07602181245336151,0.16255565622580356,-0.08653384377244205,0.07602181245336151,0.1628523821020925,-0.08683056964873098,0.07602181245336152,0.1665071261424252,-0.09048531368906367,0.0760218124533615,0.15778920212893766,-0.08176738967557616,0.007082957900688978,0.03569523017882455,-0.028612272278135568,0.28404323756694794,0.3131468227991079,-0.029103585232159945,0.08416031072120028,0.18893181356993466,-0.10477150284873438
cpsc_chapman_inceptiontime_seed45,cpsc,chapman,inceptiontime,45,3.4375648270228827,3958,0.18210716625466666,0.11735509849148584,0.06475206776318082,0.18277292075114596,0.11764665382116805,0.0651262669299779,0.18106807924961427,0.1275888787362472,0.053479200513367076,0.18106807924961427,0.12827340040289417,0.052794678846720094,0.1810680792496143,0.12758887873624714,0.05347920051336716,0.1810680792496143,0.12903958473703792,0.05202849451257638,0.18106807924961427,0.1275888787362472,0.053479200513367076,0.03844089714268323,0.028841008394108997,0.009599888748574231,0.2899671816040247,0.3812635341228384,-0.09129635251881374,0.19606350283182036,0.1698264066454596,0.026237096186360775
cpsc_chapman_inceptiontime_seed46,cpsc,chapman,inceptiontime,46,2.195875689458944,3958,0.1760877414825505,0.029568929110336005,0.14651881237221448,0.177590083000926,0.030907333110794483,0.1466827498901315,0.17438580051343083,0.054154412015138105,0.12023138849829274,0.17413497419897023,0.05591179923790071,0.11822317496106952,0.17438580051343092,0.05747280559594846,0.11691299491748246,0.17508993825266736,0.060187772618869526,0.11490216563379783,0.17438580051343083,0.054154412015138105,0.12023138849829274,0.04066152125293594,0.009008057791554334,0.031653463461381606,0.3432399876467831,0.282725758393658,0.06051422925312511,0.20164702143333518,0.09491078859410207,0.10673623283923311
cpsc_chapman_resnet1d_seed42,cpsc,chapman,resnet1d,42,2.060572895694346,3958,0.08320172549386795,0.10219446812640515,-0.018992742632537196,0.08172020468498176,0.10040632683285428,-0.01868612214787252,0.0908420696485639,0.11241482273094891,-0.021572753082385016,0.09194559955940275,0.11016899346098379,-0.018223393901581036,0.09084206964856391,0.11429194351063329,-0.023449873862069384,0.09075960717971063,0.1103307554077069,-0.01957114822799627,0.0908420696485639,0.11241482273094891,-0.021572753082385016,0.012426680653788606,0.025704036508327227,-0.013277355854538622,0.21833708565285864,0.30672745480463226,-0.08839036915177362,0.1114750225556766,0.1603247844480922,-0.048849761892415605
cpsc_chapman_resnet1d_seed43,cpsc,chapman,resnet1d,43,2.551371826992733,3958,0.16156481143886242,0.09423772591216667,0.06732708552669575,0.161863715438436,0.09391072681739711,0.06795298862103889,0.16071362631558286,0.10195069395029366,0.058762932365289205,0.1608940627070133,0.10166999013009641,0.059224072576916906,0.16071362631558284,0.10383540932820393,0.05687821698737891,0.1607136263155829,0.10774704692542886,0.052966579390154034,0.16071362631558286,0.10195069395029366,0.058762932365289205,0.027753148647089297,0.017837671533852264,0.009915477113237033,0.2144575021210091,0.2727837312954926,-0.05832622917448349,0.1665927628892963,0.13355774606458534,0.03303501682471097
cpsc_chapman_resnet1d_seed44,cpsc,chapman,resnet1d,44,3.129229593252759,3958,0.18022650027883982,0.10030095642380071,0.07992554385503911,0.18101321635291984,0.10007881962425952,0.08093439672866032,0.17790733218313529,0.09971217547809982,0.07819515670503546,0.17793687066687308,0.1052209503507212,0.07271592031615189,0.17886428800780943,0.11275874274860494,0.06610554525920449,0.1779073321831353,0.11139582323951909,0.06651150894361622,0.17790733218313529,0.09971217547809982,0.07819515670503546,0.034071640727845104,0.013438323758423486,0.020633316969421618,0.2515180624193616,0.16135048454054735,0.09016757787881424,0.18458505012011428,0.11592378426545386,0.06866126585466042
cpsc_chapman_resnet1d_seed45,cpsc,chapman,resnet1d,45,2.7420855896660727,3958,0.0900733263727087,0.17668260511938663,-0.08660927874667793,0.09088563304072939,0.176480241769674,-0.08559460872894462,0.09094618684779275,0.17984917281726318,-0.08890298596947042,0.09094618684779278,0.18433450665753326,-0.09338831980974048,0.09634004674095163,0.1820752118916342,-0.08573516515068257,0.09552773081816585,0.17948570547868123,-0.08395797466051538,0.09094618684779275,0.17984917281726318,-0.08890298596947042,0.013283549888287227,0.04021949793696142,-0.02693594804867419,0.21845938210134153,0.35399490929779565,-0.13553552719645412,0.11525428360059867,0.20054799409857338,-0.08529371049797471
cpsc_chapman_resnet1d_seed46,cpsc,chapman,resnet1d,46,3.1824909238724364,3958,0.15247213374305618,0.14763734589944183,0.004834787843614352,0.1516758992640085,0.1474729376007889,0.004202961663219623,0.14965766028300145,0.15723982260368963,-0.007582162320688174,0.15289955591842225,0.15901085726575426,-0.00611130134733201,0.1547109725169307,0.15723982260368957,-0.002528850086758877,0.15483790428244512,0.15705611552933663,-0.002218211246891505,0.14965766028300145,0.15723982260368963,-0.007582162320688174,0.03305645101280699,0.04436766478049359,-0.011311213767686595,0.2737455328840134,0.37244674940386235,-0.09870121651984898,0.18181433115353418,0.21063633300191492,-0.02882200184838074
cpsc_ptbxl_inceptiontime_seed42,cpsc,ptbxl,inceptiontime,42,2.750045974462376,2120,0.34333637854536597,0.1328829817687196,0.21045339677664637,0.34345807850502563,0.13287178605049882,0.2105862924545268,0.3380609597799913,0.12203484126408538,0.21602611851590592,0.3380609597799913,0.12203484126408537,0.21602611851590592,0.33806095977999123,0.1235884932360351,0.21447246654395613,0.33806095977999123,0.11812225809279402,0.2199387016871972,0.3380609597799913,0.12203484126408538,0.21602611851590592,0.13235517913653985,0.01889833311074212,0.11345684602579773,0.5175797798723545,0.2885816457693531,0.2289981341030014,0.3638065133234146,0.13747120829738174,0.22633530502603288
cpsc_ptbxl_inceptiontime_seed43,cpsc,ptbxl,inceptiontime,43,2.8206852650068517,2120,0.46891581904358354,0.2335484059119421,0.23536741313164145,0.46908449706356464,0.23339257687170445,0.2356919201918602,0.45647795744380854,0.22515699281786056,0.23132096462594798,0.45647795744380854,0.22928088558515256,0.22719707185865598,0.4564779574438086,0.2352763882614312,0.22120156918237738,0.4564779574438086,0.2219559996253626,0.23452195781844598,0.45647795744380854,0.22515699281786056,0.23132096462594798,0.22085477258158165,0.05495933217531357,0.16589544040626808,0.5587150020817402,0.2759384238392278,0.2827765782425124,0.46995188326208637,0.2344340678641088,0.23551781539797756
