# C4 ResNet1D 8方法对比
# ResNet1D 实验数: 30
# InceptionTime 实验数: 30

## 详细数据（每实验×方法）
arch,pair,seed,method,n_id,n_ood,id_acc,ood_acc,id_deltaECE,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,decay,id_ood_gap,support
inceptiontime,chapman_cpsc,43,matrix,3958,2057,0.8367862556846892,0.4842002916869227,0.022664659076626143,0.019391375926541388,0.014347413173105034,0.024575579521508142,0.010228166348403109,-0.0032732831500847555,-0.0032732831500847555,1
inceptiontime,chapman_cpsc,43,dirichlet,3958,2057,0.8367862556846892,0.4842002916869227,0.022417544531322768,0.019578769997957657,0.014505054877630194,0.0240348150829122,0.009529760205282005,-0.0028387745333651113,-0.0028387745333651113,1
inceptiontime,chapman_cpsc,43,em_prior,3958,2057,0.8367862556846892,0.4842002916869227,-0.020711640406257725,-0.024610633333801313,-0.03412236273062805,-0.016491658180972025,0.017630704549656023,-0.0038989929275435875,-0.0038989929275435875,0
inceptiontime,chapman_cpsc,43,bbse_prior,3958,2057,0.8367862556846892,0.4842002916869227,0.060126905587061324,0.057341841808237315,0.04863072106305522,0.06675939121299466,0.018128670149939442,-0.0027850637788240096,-0.0027850637788240096,1
inceptiontime,chapman_cpsc,44,ts,3958,2057,0.8731682668014149,0.5051045211473019,0.010409138436925846,0.018616387609701857,0.01811185750797351,0.019126106778188205,0.0010142492702146962,0.00820724917277601,0.00820724917277601,1
inceptiontime,chapman_cpsc,44,platt,3958,2057,0.8731682668014149,0.5051045211473019,-0.0031705456077153714,0.01723819968041984,0.012099743112195421,0.023491664487985914,0.011391921375790494,0.020408745288135213,0.020408745288135213,1
inceptiontime,chapman_cpsc,44,isotonic,3958,2057,0.8731682668014149,0.5051045211473019,0.015207906544464984,0.00035631845090711156,-0.004956194720813787,0.007526913085891177,0.012483107806704963,-0.014851588093557872,-0.014851588093557872,0
inceptiontime,chapman_cpsc,44,vector,3958,2057,0.8731682668014149,0.5051045211473019,0.0006970102181282495,0.008536799104724824,0.002958730739845385,0.014416669941425141,0.011457939201579757,0.007839788886596574,0.007839788886596574,1
inceptiontime,chapman_cpsc,44,matrix,3958,2057,0.8731682668014149,0.5051045211473019,0.010532912174140749,0.00493956424674058,-0.0018964950981486231,0.013421215970754562,0.015317711068903185,-0.005593347927400169,-0.005593347927400169,0
inceptiontime,chapman_cpsc,44,dirichlet,3958,2057,0.8731682668014149,0.5051045211473019,0.010537133686461803,0.004907305099388026,-0.0018506886109078532,0.013472922077106887,0.01532361068801474,-0.005629828587073777,-0.005629828587073777,0
