# discrimination_metrics_60exp —— OLD 编码修正版（variant=raw）
# 由 scripts/recompute_discrimination_old_encoding.py 生成。
# 原 results/discrimination_metrics_60exp.csv（09-10）用 NEW 标签
# 配 OLD probs，判别力被系统性低估；本表用 OLD 标签重算。
# 逐方向 OOD AUROC 均值：污染 0.629–0.792 → 正确 0.735–0.843。
# 重编码 cell 数,40;未改动(5类)cell 数,22
source,target,arch,seed,split,variant,auroc,auprc,f1,ppv,npv,mcc,auroc_ts_minus_raw,auprc_ts_minus_raw
ptbxl,chapman,inceptiontime,seed42,cal,raw,0.880631,0.606041,0.538045,0.543318,0.916137,0.581364,,
ptbxl,chapman,inceptiontime,seed42,test,raw,0.833228,0.381897,0.343097,0.347626,0.901841,0.421898,,
ptbxl,chapman,inceptiontime,seed43,cal,raw,0.865007,0.595085,0.540198,0.556366,0.917351,0.594118,,
ptbxl,chapman,inceptiontime,seed43,test,raw,0.835668,0.398640,0.333513,0.353533,0.899764,0.409559,,
ptbxl,chapman,inceptiontime,seed44,cal,raw,0.876962,0.602981,0.533220,0.548165,0.915518,0.585674,,
ptbxl,chapman,inceptiontime,seed44,test,raw,0.821450,0.370615,0.315344,0.340950,0.891251,0.377624,,
ptbxl,chapman,inceptiontime,seed45,cal,raw,0.872012,0.604517,0.552478,0.569709,0.920023,0.608860,,
ptbxl,chapman,inceptiontime,seed45,test,raw,0.824780,0.399239,0.340618,0.351682,0.898330,0.406518,,
ptbxl,chapman,inceptiontime,seed46,cal,raw,0.852805,0.569468,0.494406,0.532754,0.908724,0.548593,,
ptbxl,chapman,inceptiontime,seed46,test,raw,0.796606,0.343949,0.294568,0.333204,0.869887,0.312845,,
ptbxl,chapman,mamba,seed42,cal,raw,0.521980,0.238066,0.130846,0.153186,0.804220,0.062627,,
ptbxl,chapman,mamba,seed42,test,raw,0.491644,0.207228,0.081386,0.233547,0.802496,0.044612,,
ptbxl,chapman,mamba,seed43,cal,raw,0.507021,0.266287,0.135005,0.273261,0.804747,0.086717,,
ptbxl,chapman,mamba,seed43,test,raw,0.474181,0.200798,0.101257,0.235691,0.805551,0.070844,,
ptbxl,chapman,resnet1d,seed42,cal,raw,0.888738,0.634427,0.567476,0.570817,0.925622,0.631174,,
ptbxl,chapman,resnet1d,seed42,test,raw,0.886223,0.438936,0.382354,0.392741,0.917581,0.490591,,
ptbxl,chapman,resnet1d,seed43,cal,raw,0.895153,0.656428,0.573218,0.581301,0.926795,0.637716,,
ptbxl,chapman,resnet1d,seed43,test,raw,0.900993,0.506237,0.422388,0.439840,0.917868,0.501321,,
ptbxl,chapman,resnet1d,seed44,cal,raw,0.884556,0.634359,0.551041,0.586668,0.924740,0.626451,,
ptbxl,chapman,resnet1d,seed44,test,raw,0.886892,0.459108,0.391481,0.435176,0.911610,0.471946,,
ptbxl,chapman,resnet1d,seed45,cal,raw,0.868216,0.604406,0.561991,0.558295,0.924041,0.617246,,
ptbxl,chapman,resnet1d,seed45,test,raw,0.873418,0.433723,0.384949,0.407964,0.904464,0.440361,,
ptbxl,chapman,resnet1d,seed46,cal,raw,0.887022,0.652918,0.572654,0.592027,0.927129,0.645450,,
ptbxl,chapman,resnet1d,seed46,test,raw,0.881117,0.446541,0.393242,0.410629,0.917695,0.494594,,
ptbxl,cpsc,inceptiontime,seed42,cal,raw,0.902342,0.739274,0.688454,0.697610,0.905373,0.620140,,
ptbxl,cpsc,inceptiontime,seed42,test,raw,0.835179,0.626046,0.542245,0.573118,0.857656,0.430157,,
ptbxl,cpsc,inceptiontime,seed43,cal,raw,0.915538,0.773270,0.708553,0.731875,0.910284,0.646242,,
ptbxl,cpsc,inceptiontime,seed43,test,raw,0.862087,0.659731,0.574317,0.599201,0.867873,0.467709,,
ptbxl,cpsc,inceptiontime,seed44,cal,raw,0.904757,0.748193,0.683207,0.709752,0.905925,0.625994,,
ptbxl,cpsc,inceptiontime,seed44,test,raw,0.831155,0.627418,0.523526,0.573402,0.852638,0.407282,,
ptbxl,cpsc,inceptiontime,seed45,cal,raw,0.895964,0.731173,0.679121,0.704422,0.905444,0.615954,,
ptbxl,cpsc,inceptiontime,seed45,test,raw,0.827975,0.591531,0.509304,0.560854,0.852730,0.403220,,
ptbxl,cpsc,inceptiontime,seed46,cal,raw,0.884841,0.709515,0.645600,0.664039,0.890994,0.568688,,
ptbxl,cpsc,inceptiontime,seed46,test,raw,0.833438,0.614294,0.541356,0.565054,0.856684,0.425362,,
ptbxl,cpsc,resnet1d,seed42,cal,raw,0.909594,0.750380,0.669789,0.703994,0.903776,0.617340,,
ptbxl,cpsc,resnet1d,seed42,test,raw,0.848434,0.633105,0.487352,0.569061,0.845433,0.390062,,
ptbxl,cpsc,resnet1d,seed43,cal,raw,0.883891,0.699727,0.651832,0.663836,0.895325,0.576833,,
ptbxl,cpsc,resnet1d,seed43,test,raw,0.838376,0.637620,0.570348,0.588570,0.864354,0.453047,,
ptbxl,cpsc,resnet1d,seed44,cal,raw,0.923846,0.795726,0.735080,0.744943,0.919205,0.672925,,
ptbxl,cpsc,resnet1d,seed44,test,raw,0.865245,0.656075,0.567267,0.597636,0.866476,0.460943,,
ptbxl,cpsc,resnet1d,seed45,cal,raw,0.922567,0.789912,0.719011,0.733517,0.916960,0.660594,,
ptbxl,cpsc,resnet1d,seed45,test,raw,0.862509,0.640807,0.554711,0.595189,0.866980,0.455933,,
ptbxl,cpsc,resnet1d,seed46,cal,raw,0.900736,0.732930,0.662178,0.689962,0.895390,0.591809,,
ptbxl,cpsc,resnet1d,seed46,test,raw,0.820823,0.582969,0.518894,0.571184,0.850681,0.402109,,
