direction,source,target,seed,shift,n_archs,archs,safety_rate,safety_count,safety_source_summary,raw_ece_mean,raw_brier_rel_mean,brier_impr_mean,ts_delta_ece_mean
chapman->ptbxl,chapman,ptbxl,44,noise6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2627132493532808,0.09756219391116905,0.006706848655072324,-0.015772822999949518
chapman->ptbxl,chapman,ptbxl,45,fs125,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.7545190481972092,0.5737620952079348,0.0035955037643717325,-0.002545959550005472
chapman->ptbxl,chapman,ptbxl,45,fs250,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.6266899617818381,0.4190104505990591,0.00718068906409719,-0.00653464127446185
chapman->ptbxl,chapman,ptbxl,45,gain0.5,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.6430953621929234,0.4242241209200061,0.011480018436665407,-0.008540325971255924
chapman->ptbxl,chapman,ptbxl,45,gain2.0,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.2665206210228894,0.09582181824206504,0.0062848873389875146,-0.010094537515932298
chapman->ptbxl,chapman,ptbxl,45,leads1,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.35463162139027293,0.1304715786680427,0.009512176915102019,-0.011325305775673256
chapman->ptbxl,chapman,ptbxl,45,leads2,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.23029725620518873,0.06450214424251179,0.0022613358486883294,-0.005681122558435031
chapman->ptbxl,chapman,ptbxl,45,leads3,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.4383370830718301,0.2217182309569679,0.0086860285534036,-0.00977993755269474
chapman->ptbxl,chapman,ptbxl,45,leads6,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.383101041601111,0.2045039387816095,0.007589555769111814,-0.008734867104854022
chapman->ptbxl,chapman,ptbxl,45,noise-6,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.48883060388765354,0.28194323599433424,0.005771038339286473,-0.01080051115345343
chapman->ptbxl,chapman,ptbxl,45,noise0,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.340894688826662,0.15041908654017783,0.00594680690871173,-0.011773576337384087
chapman->ptbxl,chapman,ptbxl,45,noise12,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.2584981163647976,0.11700987867040924,0.005797121986935792,-0.010666990465792003
chapman->ptbxl,chapman,ptbxl,45,noise24,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.25737616257030194,0.11918035957265385,0.005048569630316982,-0.010071138077153902
