source,target,arch,seed,stage,n_samples,T_global,T_binned_mean,T_binned_min,T_binned_max,threshold_norm,brier_reliability,brier_resolution,brier_uncertainty,brier_raw,ece,smooth_ece,delta_rel_vs_raw
chapman,ptbxl,resnet1d,46,stage2_ts_binned,2172,1.063524700627107,0.9967531756010517,0.9649845709068302,1.0571383692342982,0.0,0.0688889364908413,0.007349674053510244,0.24613679374866457,0.3103154122581723,0.2315098537149433,0.2246002201063764,-0.0053306225574953625
chapman,ptbxl,resnet1d,46,stage3_ts_binned_threshold,2172,1.063524700627107,0.9967531756010517,0.9649845709068302,1.0571383692342982,0.0,0.0688889364908413,0.007349674053510244,0.24613679374866457,0.3103154122581723,0.2315098537149433,0.2246002201063764,-0.0053306225574953625
cpsc,chapman,inceptiontime,42,raw,3958,,,,,0.0,0.006809973245668289,0.0464187062804251,0.22717289753630912,0.1866286921880239,0.06950071503743795,0.07134608900426224,0.0
cpsc,chapman,inceptiontime,42,stage1_ts,3958,1.0296745636590583,,,,0.0,0.00600698331770891,0.046501459062352535,0.22717289753630912,0.18567722993731783,0.06279330776798148,0.06484632304401784,-0.0008029899279593791
cpsc,chapman,inceptiontime,42,stage2_ts_binned,3958,1.0296745636590583,0.9649971994443194,0.7678154533756504,1.1208376840719627,0.0,0.009707231958073697,0.04565681795707319,0.22717289753630912,0.19008574751953958,0.07755434419196681,0.07255563080088302,0.002897258712405408
cpsc,chapman,inceptiontime,42,stage3_ts_binned_threshold,3958,1.0296745636590583,0.9649971994443194,0.7678154533756504,1.1208376840719627,0.0,0.009707231958073697,0.04565681795707319,0.22717289753630912,0.19008574751953958,0.07755434419196681,0.07255563080088302,0.002897258712405408
cpsc,chapman,inceptiontime,43,raw,3958,,,,,0.0,0.017776716621335377,0.02892466218090156,0.24087921916862784,0.2282483164954441,0.12132080436927498,0.12286191134337524,0.0
cpsc,chapman,inceptiontime,43,stage1_ts,3958,1.0907687987002943,,,,0.0,0.012484861073829795,0.029266465669319994,0.24087921916862784,0.22256061204834898,0.10177839638759295,0.10195708996391725,-0.005291855547505582
cpsc,chapman,inceptiontime,43,stage2_ts_binned,3958,1.0907687987002943,1.0252599242783815,0.894419001317617,1.1522230716468178,0.0,0.010235386381993705,0.031153706372599975,0.24087921916862784,0.219365991210429,0.09197807197574147,0.09266654741224925,-0.007541330239341672
cpsc,chapman,inceptiontime,43,stage3_ts_binned_threshold,3958,1.0907687987002943,1.0252599242783815,0.894419001317617,1.1522230716468178,0.0,0.010235386381993705,0.031153706372599975,0.24087921916862784,0.219365991210429,0.09197807197574147,0.09266654741224925,-0.007541330239341672
cpsc,chapman,inceptiontime,44,raw,3958,,,,,0.0,0.005082516527936636,0.03644881475015585,0.22701995255386204,0.19465879901073613,0.06364182255947569,0.06202054178271363,0.0
cpsc,chapman,inceptiontime,44,stage1_ts,3958,1.0764919643887692,,,,0.0,0.003460709903026626,0.03722496368953248,0.22701995255386204,0.19228303253382423,0.04716171948597797,0.043839388856220365,-0.00162180662491001
cpsc,chapman,inceptiontime,44,stage2_ts_binned,3958,1.0764919643887692,1.0260839908325192,0.8941383680726159,1.148578952969946,0.0,0.0024312702526232514,0.037730952199688333,0.22701995255386204,0.19047725879012256,0.042841151736715884,0.04253604004283647,-0.0026512462753133844
cpsc,chapman,inceptiontime,44,stage3_ts_binned_threshold,3958,1.0764919643887692,1.0260839908325192,0.8941383680726159,1.148578952969946,0.0,0.0024312702526232514,0.037730952199688333,0.22701995255386204,0.19047725879012256,0.042841151736715884,0.04253604004283647,-0.0026512462753133844
cpsc,chapman,inceptiontime,45,raw,3958,,,,,0.0,0.028641099846820856,0.03443313489820298,0.2384700803612259,0.23135886659099067,0.1563080994618427,0.1572400166754375,0.0
cpsc,chapman,inceptiontime,45,stage1_ts,3958,1.1183269754098164,,,,0.0,0.02015830985920846,0.03409265468962491,0.2384700803612259,0.2229176266098905,0.13150946567836022,0.1326928469547081,-0.008482789987612396
cpsc,chapman,inceptiontime,45,stage2_ts_binned,3958,1.1183269754098164,1.0081288850600907,0.8800940042087099,1.0951365109993396,0.0,0.01907768993343078,0.03358144705137435,0.2384700803612259,0.2225913600352571,0.1293553862020345,0.13010115344328388,-0.009563409913390077
cpsc,chapman,inceptiontime,45,stage3_ts_binned_threshold,3958,1.1183269754098164,1.0081288850600907,0.8800940042087099,1.0951365109993396,0.0,0.01907768993343078,0.03358144705137435,0.2384700803612259,0.2225913600352571,0.1293553862020345,0.13010115344328388,-0.009563409913390077
cpsc,chapman,inceptiontime,46,raw,3958,,,,,0.0,0.036916990456407985,0.031870751515128456,0.24898657990762532,0.25277014034363504,0.16781682628402209,0.1696161498435681,0.0
cpsc,chapman,inceptiontime,46,stage1_ts,3958,1.0102368211348491,,,,0.0,0.03508080773724403,0.031109261730762176,0.24898657990762532,0.25180181070773,0.16521846830142145,0.1672123534670881,-0.0018361827191639563
cpsc,chapman,inceptiontime,46,stage2_ts_binned,3958,1.0102368211348491,0.9621737408146895,0.7230751293871858,1.1060773762470566,0.0,0.03733282735172973,0.03220548036070722,0.24898657990762532,0.2533024272203558,0.1768583178703223,0.17762927910324344,0.0004158368953217431
cpsc,chapman,inceptiontime,46,stage3_ts_binned_threshold,3958,1.0102368211348491,0.9621737408146895,0.7230751293871858,1.1060773762470566,0.0,0.03733282735172973,0.03220548036070722,0.24898657990762532,0.2533024272203558,0.1768583178703223,0.17762927910324344,0.0004158368953217431
cpsc,chapman,resnet1d,42,raw,3958,,,,,0.0,0.007249175931781305,0.04587081184655568,0.23684290150164397,0.1968896210174445,0.06709270128070133,0.06489564542640008,0.0
cpsc,chapman,resnet1d,42,stage1_ts,3958,0.9925201980149387,,,,0.0,0.007505731271008693,0.04596494372375563,0.23684290150164397,0.19712905022182753,0.06856298041010156,0.06589399696990038,0.0002565553392273878
cpsc,chapman,resnet1d,42,stage2_ts_binned,3958,0.9925201980149387,0.9753994752382071,0.7068692662189182,1.1186025990651682,0.0,0.00903499161360596,0.04660637673173508,0.23684290150164397,0.19905351477565766,0.07513131512396842,0.07901434214451135,0.0017858156818246554
cpsc,chapman,resnet1d,42,stage3_ts_binned_threshold,3958,0.9925201980149387,0.9753994752382071,0.7068692662189182,1.1186025990651682,0.00025,0.00903499161360596,0.04660637673173508,0.23684290150164397,0.19905351477565766,0.07513131512396842,0.07901434214451135,0.0017858156818246554
cpsc,chapman,resnet1d,43,raw,3958,,,,,0.0,0.017653754633458717,0.026352162090304415,0.2223624076042509,0.21198289867720782,0.13014263086333422,0.13100812701565528,0.0
