pair,arch,seed,method,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,is_narrow,narrow_threshold,n_cal_est,n_test_est,n_patients_cal_est,n_patients_test_est,bootstrap_converged,cluster_sufficient,decay,diagnosis_reasons
ptbxl_chapman,inceptiontime,45,dirichlet,0.014599982964897229,0.0065705789287276335,0.02040091846683701,0.013830339538109377,0,0.005,1100,4150,200,810,1,1,-0.0074903384195602885,
ptbxl_chapman,inceptiontime,45,em_prior,0.08899613936377261,0.07285618475135709,0.10414256833726558,0.03128638358590849,0,0.005,1120,4170,200,810,1,1,0.13298346435354078,
ptbxl_chapman,inceptiontime,45,bbse_prior,0.07884703854145136,0.0638527254323525,0.09329427512364416,0.02944154969129166,0,0.005,1140,4190,200,810,1,1,0.1079723685275622,
ptbxl_chapman,inceptiontime,46,ts,-0.0026051813418768166,-0.0028590117132680885,-0.002290723782178687,0.0005682879310894015,1,0.005,1000,4050,200,810,1,1,-0.0015487288350753796,extremely_narrow_ci;low_decay_variance
ptbxl_chapman,inceptiontime,46,platt,0.039716955900138295,0.029627315057940373,0.04825075564068009,0.01862344058273972,0,0.005,1020,4070,200,810,1,1,0.03427363129327452,
ptbxl_chapman,inceptiontime,46,isotonic,0.043470665581212486,0.037471866516704755,0.0489910421275258,0.011519175610821046,0,0.005,1040,4090,200,810,1,1,0.05071601081861625,
ptbxl_chapman,inceptiontime,46,vector,0.058351457437027215,0.04484855953882096,0.07097281703729083,0.026124257498469868,0,0.005,1060,4110,200,810,1,1,0.054271051148628104,
ptbxl_chapman,inceptiontime,46,matrix,0.0,0.0,0.0,0.0,1,0.005,1080,4130,200,810,1,1,0.0,delta_ece_near_zero;extremely_narrow_ci
ptbxl_chapman,inceptiontime,46,dirichlet,0.07733625882302758,0.06296793129487625,0.09023257849878515,0.027264647203908893,0,0.005,1100,4150,200,810,1,1,0.0695618791228243,
ptbxl_chapman,inceptiontime,46,em_prior,0.09713964573166828,0.08281628508559769,0.11048265682387912,0.02766637173828143,0,0.005,1120,4170,200,810,1,1,0.10700819658183958,
ptbxl_chapman,inceptiontime,46,bbse_prior,0.1495150118469834,0.13272786557521732,0.16566007105807246,0.03293220548285514,0,0.005,1140,4190,200,810,1,1,0.1388740906131354,
