direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,noise6,noise,0.32196897705901617,0.15095283837566373,0.02776165721038036,-0.2236428079790302,0.12319118116528337,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,noise0,noise,0.3124504269960926,0.14945836091919415,0.03604089427769193,-0.19717069130637516,0.11341746664150222,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,noise-6,noise,0.6208960362185222,0.39293091872686847,0.11491224846061833,-0.28528138637342854,0.27801867026625016,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,gain0.5,gain,0.20688339014707735,0.05919837819544729,0.018390953681695865,-0.15625403297204207,0.040807424513751425,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,43,gain2.0,gain,0.5020764646576331,0.3076510702138589,0.09769876328460544,-0.22282674344841585,0.20995230692925346,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,fs250,downsample,0.35817298929388686,0.14029848559341546,0.012962934022286656,-0.3047403594303886,0.1273355515711288,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,fs125,downsample,0.4191964215026268,0.20361589315559858,0.020116206499129485,-0.33546823205754683,0.1834996866564691,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,leads6,leads,0.41000171887543924,0.2189508479399729,0.031863722901917114,-0.32362086784742905,0.1870871250380558,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,leads3,leads,0.39338524258027147,0.17542372136779055,0.02411586128863194,-0.3352204372859437,0.1513078600791586,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,leads2,leads,0.5041254677343724,0.29843258117050864,0.049211471620773745,-0.32831327451218706,0.2492211095497349,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,leads1,leads,0.574015895772094,0.3773506376879812,0.07390653305067083,-0.3300126113482972,0.3034441046373104,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,noise24,noise,0.44452410989081875,0.224086693487536,0.024975529201554714,-0.3681287988758594,0.19911116428598127,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,noise12,noise,0.4287196753577511,0.20657647279011762,0.020969264010121,-0.362987404005391,0.18560720877999662,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,noise6,noise,0.37636986302726,0.15878884541000454,0.01428175778482534,-0.32285191240882927,0.1445070876251792,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,noise0,noise,0.2940539736625842,0.09385796747486319,0.008080562518180555,-0.22409504205039635,0.08577740495668264,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,noise-6,noise,0.2933461675335013,0.09297175176745011,0.004760770697869734,-0.22384791698087653,0.08821098106958038,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,gain0.5,gain,0.38651117708391863,0.16376954028508722,0.020973318656444043,-0.3312445554557373,0.1427962216286432,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,44,gain2.0,gain,0.3095344819035794,0.11540201725256519,0.013798226430901128,-0.23824923065350623,0.10160379082166406,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,fs250,downsample,0.3143297641029296,0.10592253392968537,0.0012127389746397056,-0.2727760582768393,0.10470979495504566,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,fs125,downsample,0.35813940439672587,0.15147931732820794,0.007022716866989267,-0.3050535320811449,0.14445660046121866,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,leads6,leads,0.2939460332434103,0.11971531163289781,0.017592908790119648,-0.23120550997508438,0.10212240284277815,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,leads3,leads,0.2026693838789632,0.05084797676865141,0.014025619566318124,-0.10469537606960219,0.03682235720233329,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,leads2,leads,0.3371934166415828,0.13764779478413178,0.01269863029496899,-0.2459802038600851,0.1249491644891628,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,leads1,leads,0.4397820143743652,0.19588470715425377,0.029735693038468215,-0.26872939079995406,0.16614901411578556,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,noise24,noise,0.32840489937147904,0.13538264968533129,0.01855702330523669,-0.26514415796567614,0.1168256263800946,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,noise12,noise,0.32090613626302844,0.13261729007041836,0.0189420594104709,-0.2573513640633195,0.11367523065994746,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,noise6,noise,0.30200331495208227,0.11629057385299385,0.015026512112140906,-0.24003508024630169,0.10126406174085295,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,noise0,noise,0.23822383209525136,0.06861079427702549,0.009729018472610866,-0.16252990433891823,0.05888177580441462,1,computed
