T,dist,kind,n_cells,dECE_noise,dECE_primary
3.0000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.151444,-0.151444
4.5000,empirical:chapman_ptbxl_resnet1d_seed46,empirical,60,0.193482,-0.193482
0.7000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.036017,-0.036017
0.8000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.021955,-0.021955
0.9000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.009551,-0.009551
1.0000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,-0.001708,0.001708
1.2500,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.009988,-0.009988
1.4000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.022796,-0.022796
1.5000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.030907,-0.030907
2.0000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.063619,-0.063619
3.0000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.103217,-0.103217
4.5000,empirical:cpsc_chapman_inceptiontime_seed42,empirical,60,0.133149,-0.133149
0.7000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.042354,-0.042354
0.8000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.025461,-0.025461
0.9000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.011182,-0.011182
1.0000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,-0.002165,0.002165
1.2500,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.013137,-0.013137
1.4000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.028048,-0.028048
1.5000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.036867,-0.036867
2.0000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.070490,-0.070490
3.0000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.108221,-0.108221
4.5000,empirical:cpsc_chapman_inceptiontime_seed43,empirical,60,0.136208,-0.136208
0.7000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.039789,-0.039789
0.8000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.023719,-0.023719
0.9000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.009771,-0.009771
1.0000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.001282,-0.001282
1.2500,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.014191,-0.014191
1.4000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.028675,-0.028675
1.5000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.037313,-0.037313
2.0000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.070858,-0.070858
3.0000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.109114,-0.109114
4.5000,empirical:cpsc_chapman_inceptiontime_seed44,empirical,60,0.137130,-0.137130
0.7000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.040302,-0.040302
