pair,arch,seed,source,target,T_global,fit_status,n_cal,n_id,n_ood,cal_entropy_mean,cal_entropy_std,id_rel_raw,id_rel_global_T,id_delta_rel_global,id_rel_binned_T,id_delta_rel_binned_vs_global,ood_rel_raw,ood_rel_global_T,ood_delta_rel_global,ood_rel_binned_T,ood_delta_rel_binned_vs_global
ptbxl_cpsc,inceptiontime,45,ptbxl,cpsc,3.409269083439769,ok,2099,2120,2057,0.6677954441084755,0.32949614506462227,0.06403809415575111,0.050668330851736866,-0.013369763304014244,0.004201606665911102,-0.046466724185825765,0.13869726613511385,0.037753002293186406,-0.10094426384192745,0.004207262408475465,-0.03354573988471094
ptbxl_cpsc,inceptiontime,46,ptbxl,cpsc,2.1212841667648323,ok,2099,2120,2057,0.7183837159014138,0.3114214117524102,0.046872439332929235,0.006259428517551046,-0.04061301081537819,0.003392682598868367,-0.0028667459186826794,0.1481192642710177,0.03123455414427197,-0.11688471012674574,0.03683806094894704,0.005603506804675067
chapman_ptbxl,resnet1d,42,chapman,ptbxl,1.1246149746958785,ok,2025,4050,2172,0.32219461100244134,0.3473972389762274,0.0003830866516257635,0.0005787955141228482,0.00019570886249708477,0.0005590196021533981,-1.977591196945013e-05,0.08205259627421856,0.07130299840643102,-0.010749597867787536,0.07064449303739341,-0.0006585053690376097
chapman_ptbxl,resnet1d,43,chapman,ptbxl,1.1279350099751135,ok,2025,4050,2172,0.28835821091590574,0.32572636177109915,0.0012210088848558136,0.0006248084485752883,-0.0005962004362805253,0.0006656932480215441,4.088479944625587e-05,0.07980176903755781,0.0691490721871186,-0.010652696850439208,0.07072284223340669,0.0015737700462880866
chapman_ptbxl,resnet1d,44,chapman,ptbxl,1.068435712009116,ok,2025,4050,2172,0.3147812883696347,0.3617361223060181,0.0007882744618419049,0.0004269099368359234,-0.00036136452500598154,0.0004237532784725671,-3.156658363356326e-06,0.07373014712349543,0.06733429130069099,-0.0063958558228044415,0.06728847863700663,-4.581266368436365e-05
chapman_ptbxl,resnet1d,45,chapman,ptbxl,0.987885834160384,ok,2025,4050,2172,0.5232385623577442,0.36358014492733,0.0007690428722615722,0.0008419512813624688,7.29084091008966e-05,0.0007706464836817964,-7.130479768067239e-05,0.10778075799019382,0.10911584427966173,0.0013350862894679072,0.11282545482134598,0.003709610541684255
chapman_ptbxl,resnet1d,46,chapman,ptbxl,1.0635272287093325,ok,2025,4050,2172,0.3409074567502693,0.3619280231531792,0.0002113023573527824,0.00033983521996585345,0.00012853286261307106,0.0002539615945907008,-8.587362537515263e-05,0.07419815484619385,0.06934689429684938,-0.004851260549344469,0.06876360301197998,-0.0005832912848694055
chapman_ptbxl,inceptiontime,42,chapman,ptbxl,0.9843878418023013,ok,2025,4050,2172,0.5277780509589572,0.44035315373054906,0.0005368187920168618,0.0006667797995872666,0.00012996100757040475,0.0005048416127635812,-0.00016193818682368535,0.13527963675224178,0.13644513060388272,0.0011654938516409419,0.1263635873749306,-0.010081543228952106
chapman_ptbxl,inceptiontime,43,chapman,ptbxl,1.0389052969058246,ok,2025,4050,2172,0.48052560360109625,0.4126096090866777,0.00021757125448583478,0.00010834512202046577,-0.00010922613246536901,0.0002462000504275184,0.00013785492840705265,0.119715792004593,0.11588763766414809,-0.0038281543404449087,0.1094119091319191,-0.006475728532228983
chapman_ptbxl,inceptiontime,44,chapman,ptbxl,1.0593891347337667,ok,2025,4050,2172,0.4331602246512226,0.4033537959638596,0.0002789022289316492,0.00011126597006131151,-0.00016763625887033772,0.0004280850320443625,0.00031681906198305094,0.11732954603509015,0.1096443041423594,-0.007685241892730746,0.10835541977316458,-0.0012888843691948176
chapman_ptbxl,inceptiontime,45,chapman,ptbxl,1.103969667968837,ok,2025,4050,2172,0.4191890693914462,0.362687350475535,0.001137714654253724,0.0018902607109301188,0.0007525460566763947,0.0028587932542108395,0.0009685325432807208,0.13168008721500027,0.11897790884767342,-0.012702178367326844,0.12266490368487287,0.0036869948371994476
chapman_ptbxl,inceptiontime,46,chapman,ptbxl,1.0741812157736539,ok,2025,4050,2172,0.3800178219366963,0.37748724768474196,0.0005634309031808373,0.0006018194088875588,3.838850570672149e-05,0.00038132490237649763,-0.00022049450651106113,0.10385811686512185,0.09790245585560428,-0.005955661009517568,0.09931392470814647,0.0014114688525421887
chapman_cpsc,resnet1d,42,chapman,cpsc,1.5364023448258783,ok,1979,3958,2057,0.25234460478830867,0.2535459121230868,0.0023380120906816306,0.004053573512740715,0.0017155614220590843,0.006767004013049295,0.0027134305003085803,0.14336490932120907,0.0841356966272053,-0.059229212694003774,0.05871407846444049,-0.02542161816276481
