src,tgt,arch,seed,T,s_hat,b_hat,pi_l1,d_obs,d_obs_json,d_pred_json,d_pred_lin,d_pred_full,e_raw,e_ts,ood_acc,wass
ptbxl,chapman,inceptiontime,45,1.0935977150684193,1.2490372664374048,-0.021073072138259232,0.9542237325369856,-0.09260589690855986,0.022236273963223765,0.4415273421125825,-0.04315081083564807,-0.14496171142584002,0.12773633481543745,0.2203422317239973,0.6130864197530864,0.8686202168464661
ptbxl,chapman,inceptiontime,46,0.9896139822060166,0.9844196472384068,0.019838234485397083,0.9542237325369856,-0.12014363430900335,-0.002658034162162398,0.38461750314413123,0.003533619413542749,-0.11420023652506464,0.16175915666568427,0.2819027909746876,0.4982716049382716,0.7162179946899414
ptbxl,chapman,mamba,42,0.6056905696123951,0.24077143543264762,-0.6610455836936721,0.9542237325369856,-0.17243682539757388,-0.09198903693290163,-0.02956263785120196,0.14569001296169343,0.07580108858920906,0.08194821707260458,0.25438504247017846,0.24123456790123457,0.09328135848045349
ptbxl,chapman,mamba,43,0.5230027874118076,0.12907611967197186,-0.8126634066529868,0.9542237325369856,-0.15645131359865638,-0.09381972938306911,-0.017441276299405964,0.11911395446212851,-0.006833747743088543,0.03713749561780765,0.19358880921646404,0.25876543209876546,0.05529166758060455
ptbxl,chapman,resnet1d,42,1.108266135223491,1.2399446991268472,0.03036317677275651,0.9542237325369856,-0.08235976790940322,0.024036271628803854,0.46104673090223874,-0.034329666972567674,-0.12459495153692035,0.10770423967161294,0.19006400758101616,0.6735802469135802,0.828290581703186
ptbxl,chapman,resnet1d,43,1.1905984840602915,1.214412269766309,0.2479877453948645,0.9542237325369856,-0.06719747904642123,0.03658587224143067,0.4763801474306993,-0.025802513904529582,-0.11404196011431422,0.13159173642411645,0.19878921547053768,0.6730864197530865,0.96036696434021
ptbxl,chapman,resnet1d,44,1.1033856277718945,1.275798668030828,-0.017524948690618325,0.9542237325369856,-0.08565718841405565,0.024331559013488935,0.48903499358695596,-0.022067470591870544,-0.12879847307999934,0.1422944752301699,0.22795166364422553,0.6516049382716049,0.6762641072273254
ptbxl,chapman,resnet1d,45,1.1074875816050354,1.1090625725545151,0.1378561701108532,0.9542237325369856,-0.08619517307958491,0.024880350972776064,0.4611180603989281,-0.028754565127200798,-0.1174845390113784,0.15201296519350121,0.23820813827308612,0.6212345679012345,0.7269525527954102
ptbxl,chapman,resnet1d,46,1.1729085939085804,1.2913812268059035,0.0706381247664142,0.9542237325369856,-0.07090507948104244,0.027200817120058826,0.46246573596495244,-0.038792595009071264,-0.12338208230189335,0.12740002251701593,0.19830510199805837,0.6651851851851852,1.0035628080368042
ptbxl,cpsc,inceptiontime,42,3.6532550928813423,3.6386105890572713,1.4158240228463341,0.8633414110430158,0.20842382137962032,0.3150123582727276,0.24088641541703198,-0.3782040136353358,-0.19946540737824342,0.3991465923794277,0.19072277099980736,0.3621779290228488,0.11436259746551514
ptbxl,cpsc,inceptiontime,43,2.8846798668035714,2.1013187222964587,1.4430961522662757,0.8633414110430158,0.15232743684331015,0.2721557951225187,0.24999758490123536,-0.16215091101892895,-0.17221559358848548,0.38490559294725657,0.23257815610394642,0.3864851725814293,0.10548855364322662
ptbxl,cpsc,inceptiontime,44,3.526470098559992,2.590152915964136,1.2340789964147219,0.8633414110430158,0.20395962983065577,0.30268477637678404,0.26639799219065285,-0.2227878540500313,-0.17949443626705153,0.37858644297358246,0.1746268131429267,0.39231891103548855,0.0757184848189354
ptbxl,cpsc,inceptiontime,45,3.409270199987507,-39.54207593625732,3.968608998330627,0.8633414110430158,0.1748170327462209,0.2036292524677354,0.2575552867810457,6.929787016986841,-0.5946404826136892,0.3075282487060239,0.132711215959803,0.43412736995624696,0.1728065311908722
ptbxl,cpsc,inceptiontime,46,2.1212845806536547,1.3900920294092358,1.126166755703489,0.8633414110430158,0.07522543654838226,0.2034191224129627,0.2301633952386431,-0.07313559986565955,-0.16463996840149214,0.35871202454847445,0.2834865880000922,0.3578026251823043,0.06898661702871323
ptbxl,cpsc,resnet1d,42,2.5291222453830655,1.8757353243936885,1.3748637183417487,0.8633414110430158,0.11219511645826596,0.23629048052177465,0.21359057283795357,-0.35108440446584127,-0.18284524250621637,0.37340564933806064,0.2612105328797947,0.351968886728245,0.07508139312267303
ptbxl,cpsc,resnet1d,43,2.5150607489279846,3.41668708736303,0.7949016220851959,0.8633414110430158,0.1322220236888834,0.23588929575962264,0.2563221453494291,-0.4525219602481617,-0.22867127611153787,0.3546513300470548,0.2224293063581714,0.383082158483228,0.10194486379623413
ptbxl,cpsc,resnet1d,44,4.439638313607378,8.258893861211103,1.3858784415026413,0.8633414110430158,0.24595581882487932,0.3643593463518973,0.2544595959084755,-0.637435810966041,-0.14358162367059935,0.44775625389643414,0.20180043507155482,0.39961108410306273,0.16591528058052063
ptbxl,cpsc,resnet1d,45,3.9746045511771806,9.092328703753479,0.5279740009053513,0.8633414110430158,0.23069374333554588,0.25540027500567986,0.27091172686530046,-1.217157360109116,-0.2232276265865747,0.33308224415512533,0.10238850081957947,0.4312105007292173,0.12501312792301178
ptbxl,cpsc,resnet1d,46,2.1718877127471963,1.1943457661662065,1.124471661718901,0.8633414110430158,0.07571958497304276,0.2126714573414362,0.26414459089233183,-0.030657702895994527,-0.12677711948180115,0.3606411448716538,0.284921559898611,0.3889158969372873,0.09298689663410187
