src,tgt,arch,seed,K,e_raw,e_ts,d_obs_true,d_obs_json,d_pred_json,d_pred_enum,ece_sub_raw,ece_sub_sbpi,sh_s,sh_b,sh_pi,prev_l1,T,ood_acc
cpsc,ptbxl,resnet1d,43,4,0.39802845335512793,0.2712158951275753,0.1268125582275526,0.22561141381183952,0.18660219486704277,-0.45389639520481856,0.51228108625367,0.058384691048851384,-0.27141761093210215,0.0,-0.1824787842727164,0.8633162418249696,2.5512128896851194,0.27735849056603773
cpsc,ptbxl,resnet1d,44,4,0.41102087029589796,0.21529079218799216,0.1957300781079058,0.2900435380413028,0.16234884176823544,-0.431949347187492,0.5318037073848383,0.09985436019734632,-0.3133936489093567,0.0,-0.11855569827813528,0.8633162418249696,3.2499059272046495,0.29952830188679247
cpsc,ptbxl,resnet1d,45,4,0.36967888941180027,0.19621202256881964,0.17346686684298063,0.27145276081683745,0.16858484744090485,-0.410818123825891,0.4810841356948862,0.07026601186899516,-0.29097517545716384,0.0,-0.11984294836872719,0.8633162418249696,3.1243148338207676,0.3433962264150943
cpsc,ptbxl,resnet1d,46,4,0.4501823925887639,0.24537423442838327,0.20480815816038064,0.29863610668688767,0.12598726002551736,-0.49159550224048953,0.5503712849094058,0.05877578266891631,-0.33638272813553527,0.0,-0.15521277410495424,0.8633162418249696,3.517784721833407,0.2952830188679245
ptbxl,chapman,inceptiontime,42,5,0.12112495916861077,0.20281619904953757,-0.0816912398809268,0.030625349391622772,0.44886086808540676,-0.09776841027559818,0.22500547828497708,0.1272370680093789,-0.023877680041565597,0.0,-0.07389073023403259,0.951524452629425,1.137414233816701,0.6474074074074074
ptbxl,chapman,inceptiontime,43,5,0.16022377968570334,0.24892535262637666,-0.08870157294067332,0.022405520310099236,0.44736202949317555,-0.13296368172000922,0.26731201514785674,0.13434833342784752,-0.01917182377980385,0.0,-0.11379185794020535,0.951524452629425,1.1058476761558191,0.6014814814814815
ptbxl,chapman,inceptiontime,44,5,0.18221751586890514,0.2785549719098174,-0.09633745604091223,0.019701951814679042,0.42912147447216137,-0.16864461404362174,0.29231728458110195,0.1236726705374802,-0.015500331633405298,0.0,-0.15314428241021644,0.951524452629425,1.0737596178986828,0.5592592592592592
ptbxl,chapman,inceptiontime,45,5,0.12773633481543745,0.2203422317239973,-0.09260589690855986,0.022236273963223765,0.4415273421125825,-0.1172667899710339,0.23759093823992178,0.12032414826888789,-0.018122439976566172,0.0,-0.09914434999446772,0.951524452629425,1.0935977150684193,0.6130864197530864
ptbxl,chapman,inceptiontime,46,5,0.16175915666568427,0.28190281195405087,-0.1201436552883666,-0.002658034162162398,0.38461750314413123,-0.16283919063608557,0.2795462697155682,0.1167070790794826,0.003129744164301562,0.0,-0.16596893480038713,0.951524452629425,0.9896139822060166,0.4982716049382716
ptbxl,chapman,mamba,42,5,0.08194821707260458,0.2543850369659471,-0.17243681989334253,-0.09198903693290163,-0.02956263785120196,-0.004514267768317773,0.12696890062020147,0.12245463285188371,0.08458400136082221,0.0,-0.08909826912913998,0.951524452629425,0.6056905696123951,0.24123456790123457
ptbxl,chapman,mamba,43,5,0.03713749561780765,0.19358880918702964,-0.15645131356922198,-0.09381972938306911,-0.017441276299405964,0.0611197522507192,0.06784277627497541,0.12896252852569462,0.08397881615583531,0.0,-0.022859063905116113,0.951524452629425,0.5230027874118076,0.25876543209876546
ptbxl,chapman,resnet1d,42,5,0.10770423967161294,0.1900640066832672,-0.08235976701165426,0.024036271628803854,0.46104673090223874,-0.11090312951289816,0.2057936046079353,0.09489047509503713,-0.015331186259942653,0.0,-0.09557194325295551,0.951524452629425,1.108266135223491,0.6735802469135802
ptbxl,chapman,resnet1d,43,5,0.13159173642411645,0.19878915209093206,-0.06719741566681561,0.03658587224143067,0.4763801474306993,-0.11896343452319941,0.2247578979715889,0.1057944634483895,-0.027289582153881355,0.0,-0.09167385236931805,0.951524452629425,1.1905984840602915,0.6730864197530865
ptbxl,chapman,resnet1d,44,5,0.1422944752301699,0.22795174956321718,-0.08565727433304729,0.024331559013488935,0.48903499358695596,-0.12369590837610678,0.24194216716436695,0.11824625878826017,-0.016061473721662084,0.0,-0.1076344346544447,0.951524452629425,1.1033856277718945,0.6516049382716049
ptbxl,chapman,resnet1d,45,5,0.15201296519350121,0.23820813390207884,-0.08619516870857763,0.024880350972776064,0.4611180603989281,-0.13895436503733344,0.25442901967484277,0.1154746546375093,-0.018680708360338638,0.0,-0.12027365667699481,0.951524452629425,1.1074875816050354,0.6212345679012345
ptbxl,chapman,resnet1d,46,5,0.12740002251701593,0.19830509981991334,-0.07090507730289741,0.027200817120058826,0.46246573596495244,-0.11875758189004806,0.22191882154087963,0.10316123965083157,-0.023855797933237652,0.0,-0.09490178395681041,0.951524452629425,1.1729085939085804,0.6651851851851852
