src,tgt,arch,seed,K,T,s_hat_cal,b_hat_cal,s_true_ood,b_true_ood,pi_l1,d_obs,e_raw,e_ts,ood_acc,id_acc,dT_from_true,err_s
cpsc,ptbxl,inceptiontime,44,4,3.045573315474582,1.4164255701166921,1.4955174755793246,2.6549982151008615,3.4516215636360505,0.8645734967206188,0.26721162582869257,0.4181391693511099,0.15092754352241733,0.30235849056603775,0.50730282375852,-1.6549982151008615,-1.2385726449841694
cpsc,ptbxl,inceptiontime,45,4,3.1687513716229683,1.7939393190169677,1.6780921071001613,4.284169638115008,5.5009268325363365,0.8645734967206188,0.2613614112312659,0.42676428550819184,0.16540287427692593,0.25613207547169814,0.44790652385589097,-3.2841696381150083,-2.490230319098041
cpsc,ptbxl,inceptiontime,46,4,2.7373160485948738,1.2481285852204098,1.225893207809498,2.5285494758106,2.250904843075719,0.8645734967206188,0.22306702054336666,0.2973450913744153,0.07427807083104862,0.3613207547169811,0.5063291139240507,-1.5285494758106002,-1.2804208905901904
cpsc,ptbxl,resnet1d,42,4,2.735391419860299,3.0380716433641544,1.4321400816363332,3.1981917028697335,3.9483007128334306,0.8645734967206188,0.25475792024141103,0.41831645770174153,0.1635585374603305,0.29150943396226414,0.5102239532619279,-2.1981917028697335,-0.16012005950557917
cpsc,ptbxl,resnet1d,43,4,2.5512128896851194,1.798240152590206,1.1360163834474062,2.283447981370476,3.107847069676019,0.8645734967206188,0.2264980241196519,0.39802845335512793,0.17153042923547604,0.27735849056603773,0.5082765335929893,-1.2834479813704762,-0.48520782878027013
cpsc,ptbxl,resnet1d,44,4,3.2499059272046495,2.3439813994115655,1.5104988088449347,4.9516849190151095,5.2636923999469785,0.8645734967206188,0.2882298869464084,0.41102087029589796,0.12279098334948954,0.29952830188679247,0.495618305744888,-3.9516849190151095,-2.607703519603544
cpsc,ptbxl,resnet1d,45,4,3.1243148338207676,2.345238925748595,1.4227116197992957,4.248539346122614,3.8976966422630204,0.8645734967206188,0.26380315284872224,0.36967888941180027,0.105875736563078,0.3433962264150943,0.5296981499513145,-3.248539346122614,-1.9033004203740194
cpsc,ptbxl,resnet1d,46,4,3.517784721833407,1.7427656894581234,1.941869820418611,3.309163257023869,4.328528302537865,0.8645734967206188,0.30313432571466226,0.4501823925887639,0.14704806687410168,0.2952830188679245,0.49269717624148,-2.309163257023869,-1.5663975675657458
ptbxl,cpsc,inceptiontime,42,4,3.6532550928813423,3.6386105890572713,1.4158240228463341,-11.757933054622837,-5.131358786727454,0.8633414110430158,0.3127793004048057,0.3991465923794277,0.08636729197462192,0.3621779290228488,0.511195807527394,12.757933054622837,15.396543643680108
ptbxl,cpsc,inceptiontime,43,4,2.8846798668035714,2.1013187222964587,1.4430961522662757,-76.41493211291747,-33.746362380440274,0.8633414110430158,0.28005965435881913,0.38490559294725657,0.10484593858843745,0.3864851725814293,0.5307289185326346,77.41493211291747,78.51625083521392
ptbxl,cpsc,inceptiontime,44,4,3.526470098559992,2.590152915964136,1.2340789964147219,-317.74688803672467,-137.4942260745509,0.8633414110430158,0.31639202011677714,0.37858644297358246,0.06219442285680535,0.39231891103548855,0.5364459266317294,318.74688803672467,320.3370409526888
ptbxl,cpsc,inceptiontime,45,4,3.409270199987507,-39.54207593625732,3.968608998330627,-4.711177437414457,0.1249988312598813,0.8633414110430158,0.1710575280616659,0.3075282487060239,0.136470720644358,0.43412736995624696,0.5159599809433063,5.711177437414457,-34.83089849884286
ptbxl,cpsc,inceptiontime,46,4,2.1212845806536547,1.3900920294092358,1.126166755703489,8.468592263339394,6.099543522852894,0.8633414110430158,0.20397634274042092,0.35871202454847445,0.15473568180805353,0.3578026251823043,0.5164363982848976,-7.468592263339394,-7.078500233930158
ptbxl,cpsc,resnet1d,42,4,2.5291222453830655,1.8757353243936885,1.3748637183417487,63.25942812309503,39.8695286458025,0.8633414110430158,0.2308406837306139,0.37340564933806064,0.14256496560744675,0.351968886728245,0.505002382086708,-62.25942812309503,-61.38369279870134
ptbxl,cpsc,resnet1d,43,4,2.5150607489279846,3.41668708736303,0.7949016220851959,-5.1135412460002625,-1.2274168082274723,0.8633414110430158,0.21939041746404764,0.3546513300470548,0.13526091258300715,0.383082158483228,0.5292996665078609,6.1135412460002625,8.530228333363294
ptbxl,cpsc,resnet1d,44,4,4.439638313607378,8.258893861211103,1.3858784415026413,-10.704665928183234,-1.9227711360491095,0.8633414110430158,0.37422074967768765,0.44775625389643414,0.07353550421874651,0.39961108410306273,0.5383515959980943,11.704665928183234,18.96355978939434
