src,tgt,arch,seed,T,d_obs_true,d_pred_json,inj_on_raw_sum,inj_on_raw_s,inj_on_raw_b,inj_on_raw_pi,inj_on_raw_e0,inj_on_raw_e_full,inj_on_ts_sum,inj_on_ts_s,inj_on_ts_b,inj_on_ts_pi,inj_on_ts_e0,inj_on_ts_e_full
ptbxl,chapman,resnet1d,42,1.108266135223491,0.024036271628803854,0.46104673090223874,-0.11090312951289816,-0.015331186259942653,0.0,-0.09557194325295551,0.2057936046079353,0.09489047509503713,-0.07587968528520789,0.0,0.0,-0.07587968528520789,0.25273340142803424,0.17685371614282636
ptbxl,chapman,resnet1d,43,1.1905984840602915,0.03658587224143067,0.4763801474306993,-0.11896343452319941,-0.027289582153881355,0.0,-0.09167385236931805,0.2247578979715889,0.1057944634483895,-0.07368344135858529,0.0,0.0,-0.07368344135858529,0.2612581610385283,0.187574719679943
ptbxl,chapman,resnet1d,44,1.1033856277718945,0.024331559013488935,0.48903499358695596,-0.12369590837610678,-0.016061473721662084,0.0,-0.1076344346544447,0.24194216716436695,0.11824625878826017,-0.07600907245241845,0.0,0.0,-0.07600907245241845,0.2900262673254366,0.21401719487301818
ptbxl,chapman,resnet1d,45,1.1074875816050354,0.024880350972776064,0.4611180603989281,-0.13895436503733344,-0.018680708360338638,0.0,-0.12027365667699481,0.25442901967484277,0.1154746546375093,-0.0878585309312298,0.0,0.0,-0.0878585309312298,0.30420206005926487,0.21634352912803506
ptbxl,chapman,resnet1d,46,1.1729085939085804,0.027200817120058826,0.46246573596495244,-0.11875758189004806,-0.023855797933237652,0.0,-0.09490178395681041,0.22191882154087963,0.10316123965083157,-0.07675141666573049,0.0,0.0,-0.07675141666573049,0.2623042941019859,0.18555287743625543
ptbxl,cpsc,inceptiontime,42,3.6532550928813423,0.3150123582727276,0.24088641541703198,-0.3879328588450356,-0.320850386835829,0.0,-0.06708247200920661,0.4953428408041357,0.10740998195910012,-0.11026105470696046,0.0,0.0,-0.11026105470696046,0.30607603111484993,0.19581497640788947
ptbxl,cpsc,inceptiontime,43,2.8846798668035714,0.2721557951225187,0.24999758490123536,-0.3772230523190597,-0.28097548553070306,0.0,-0.09624756678835669,0.484872268888634,0.10764921656957423,-0.11895446968743201,0.0,0.0,-0.11895446968743201,0.356285036551935,0.237330566864503
ptbxl,cpsc,inceptiontime,44,3.526470098559992,0.30268477637678404,0.26639799219065285,-0.39270366214588937,-0.3176379334212214,0.0,-0.07506572872466796,0.4773705963608589,0.08466693421496956,-0.11723333432751198,0.0,0.0,-0.11723333432751198,0.2945012915870433,0.17726795725953132
ptbxl,cpsc,inceptiontime,45,3.409270199987507,0.2036292524677354,0.2575552867810457,-0.2734482207383015,-0.2450262936050999,0.0,-0.028421927133201616,0.41469970138315215,0.14125148064485066,-0.051728884005902004,0.0,0.0,-0.051728884005902004,0.2238279890683767,0.1720991050624747
ptbxl,cpsc,inceptiontime,46,2.1212845806536547,0.2034191224129627,0.2301633952386431,-0.34735557410162715,-0.22637651566646297,0.0,-0.12097905843516418,0.47124273247028015,0.123887158368653,-0.1118352923941963,0.0,0.0,-0.1118352923941963,0.40451762750998366,0.29268233511578734
ptbxl,cpsc,resnet1d,42,2.5291222453830655,0.23629048052177465,0.21359057283795357,-0.30376899030886445,-0.2314317084335904,0.0,-0.07233728187527404,0.47832899862664036,0.17456000831777593,-0.08274469454333894,0.0,0.0,-0.08274469454333894,0.3736454781016274,0.29090078355828847
ptbxl,cpsc,resnet1d,43,2.5150607489279846,0.23588929575962264,0.2563221453494291,-0.3589181470602206,-0.267980747968386,0.0,-0.09093739909183463,0.47190767200641043,0.11298952494618972,-0.11679032619028579,0.0,0.0,-0.11679032619028579,0.3515788337444876,0.23478850755420183
ptbxl,cpsc,resnet1d,44,4.439638313607378,0.3643593463518973,0.2544595959084755,-0.3740156199546384,-0.3298674371947323,0.0,-0.04414818275990609,0.5197924320478722,0.14577681209323373,-0.08978354591286405,0.0,0.0,-0.08978354591286405,0.32905235241846836,0.2392688065056043
ptbxl,cpsc,resnet1d,45,3.9746045511771806,0.25540027500567986,0.27091172686530046,-0.3376602963110073,-0.31352853152393495,0.0,-0.02413176478707235,0.4340939880518527,0.09643369174084535,-0.043262468607830534,0.0,0.0,-0.043262468607830534,0.20713874896174214,0.1638762803539116
ptbxl,cpsc,resnet1d,46,2.1718877127471963,0.2126714573414362,0.26414459089233183,-0.2998869923594122,-0.21221496531462147,0.0,-0.08767202704479071,0.4620241273880933,0.1621371350286811,-0.07682959137620593,0.0,0.0,-0.07682959137620593,0.40004558170890714,0.3232159903327012
